,Visual input,Visual input type,PC 1 loading,PC 2 loading,PC 3 loading
0,720575940640715392,AMe12,0.016853270506770532,-0.12188966612902426,0.2541527043300142
1,720575940622446106,AMe12,0.03985733027914887,-0.045284004882261863,0.06620200093679934
2,720575940609627403,AMe12,0.013737397891971996,0.050575164346562555,0.07505467340316707
3,720575940625459464,AMe12,0.0039466376378913025,-0.0055357916020998535,-0.01687623907922595
4,720575940647731252,AMe12,0.005448608289217706,-0.010164479281738982,0.016497009548881725
5,720575940629824617,AMe12,-0.0007215289299104008,-0.007343887980515181,-0.013472758184600067
6,720575940640836952,AMe12,-0.014849578609954171,-0.12789057965329848,0.17011982005669496
7,720575940615149836,AMe20,0.046101227137986804,0.06951523384760767,-0.0763698844684811
8,720575940613941475,AMe26,0.012630903520350088,-0.01841909201587174,0.010192973094803087
9,720575940633292113,AMe26,-0.0019369284480690815,-0.003540908112079574,-0.009133014353407442
10,720575940615566846,AMe26,0.0028136335355308994,-0.0011371294548070472,-0.0013437027226684962
11,720575940616631455,AMe26,0.014584215299414175,-0.0015456604121151412,-0.007174799477778373
12,720575940631298860,AMe26,-0.00905073209790336,0.004967056927463359,-0.005098559859755655
13,720575940616412738,AMe26,-0.011757592206695151,-0.011980466045743194,-0.00537402892968902
14,720575940624587447,Lo-144,-0.0023304763582775046,-0.014525487136143269,0.013653626037158867
15,720575940617101580,Lo-175,0.003109076804185548,-0.0009446121698290352,-0.0010170725318784846
16,720575940630585704,Lo-178,0.017156854285635504,0.016832411831922776,-0.010657893111553714
17,720575940622891242,Lo-178,-0.014954305365779139,-0.05848343814385338,0.0508809471705713
18,720575940618529885,Lo-35,-0.1629314798732183,-0.026395474195849207,-0.16200730551656028
19,720575940626849866,Lo-38,0.007704267235839764,-0.0024505406604219565,-0.004893265470633032
20,720575940620455408,Lo-47,-0.023164516859240647,-0.0002921135231097567,0.034658262572635885
21,720575940621510164,Lo-CB0274,-0.03014267145307617,-0.03082264909404042,-0.05974069879115497
22,720575940645104840,Lo-LT43,0.0,6.063635925858466e-24,3.0101290998225903e-24
23,720575940610053827,Lo-LT43,0.0,-7.579544907323083e-25,-7.525322749556476e-25
24,720575940633183628,Lo-LT57,-0.010492179400531904,0.003907559064370836,-0.0031352992638406345
25,720575940635169888,Lo-LT67,0.008220510969751705,-0.0029489187150476878,-0.005858087092388437
26,720575940617883003,Lo-LT75,0.022892536414675806,-0.012139540165146985,-0.011756662242280301
27,720575940638192496,Lo-PLP091,0.03475973332157814,0.07861734616586297,-0.0122710803069679
28,720575940620308416,Lo-PLP125,-0.0002539311832122243,-0.005715552843601727,0.009801578487680974
29,720575940616992454,Lo-PLP126,-0.00043122784790288306,-0.008127820296198598,-0.018307804833685885
30,720575940620233966,Lo-SLP357,0.005419641421107663,0.00589460429081596,0.009964382190890898
31,720575940624611405,Lo-SLP357,-0.0008668898092000471,-0.004252422927847292,-0.049397549708522864
32,720575940631340332,Lo-SLP449,-0.0027764486249143424,-0.010491120819488367,0.007279604773667316
33,720575940636036532,Lo-VES044,0.014305076189542463,0.00018247075718019575,-0.008922225436111366
34,720575940621806574,Lo-VES044,-0.0006122378201224306,0.0005446149324148464,-0.003007492302314597
35,720575940618366169,MC62,-0.011630581933414567,0.005435033440978549,-0.005401759665969489
36,720575940628804424,MC62-d,-0.007407589423341564,0.004864346502521154,0.013827051040002997
37,720575940625733453,Me-1,-1.2542619369134766e-40,-1.0771181148531756e-38,-1.0694126827895155e-38
38,720575940631057468,Me-10,-0.0011829422901730956,-0.00503362762591935,-0.0006960049560179515
39,720575940633285935,Me-15,-0.0008453610352302156,-0.0069066779601729454,0.02529472870838427
40,720575940619017387,Me-15,-0.0067262144218448216,-0.007744144533703984,0.01195073444007337
41,720575940628913404,Me-15,-0.0012497101409695525,-0.010168144793456355,0.032516356818942674
42,720575940637511525,Me-179,0.04935659610933639,-0.013569625566418797,-0.003933276730771064
43,720575940614440931,Me-182,0.016358314522560938,-0.011408784917254364,0.004811289341394697
44,720575940630575042,Me-186,0.003554500467345167,-0.026210500876051045,0.012605607795618902
45,720575940632404555,Me-188,-0.010353955740240919,0.0018720287611417301,-0.00021359386518249096
46,720575940632859203,Me-75,0.0024482002026762115,-0.007307296598151309,0.0028023166985205465
47,720575940632707944,Me-CB0081,-0.024293161601027558,0.07096909711542312,0.00455275490491467
48,720575940635535511,Me-CB0111,-0.16300010182743455,0.2914688187553298,0.09075692589381397
49,720575940631706105,Me-CB0156,0.34182241864546026,0.03652747967665992,-0.07224325104887018
50,720575940623139610,Me-CB0165,0.0003180800286671447,0.003196078649419351,-0.0019365668574996956
51,720575940635960255,Me-CB0167,-0.000491565020909198,-0.009939130083022857,-0.013749622261672811
52,720575940642602203,Me-CB0304,-0.04566828957214091,0.028000255983557307,0.07044778531782303
53,720575940630737516,Me-CB0389,0.10275452190309663,0.20440398901515355,0.03950658286968975
54,720575940637790821,Me-MC62-b,-0.0015622634707676537,0.0011782256230404658,0.004571896134734557
55,720575940631783372,a-AVLP041,-0.0048470765112925114,0.004811513048608524,0.008785162667334364
56,720575940632219361,a-AVLP043,0.017803959805392396,-0.022053680145906102,-0.007237147318736012
57,720575940618422941,a-AVLP043,0.009461194663666078,0.002046157698391036,-0.005099042148019662
58,720575940619522974,a-CL200,0.007164852273835524,-0.007033974340693263,-0.017974557705961854
59,720575940622350550,a-CL258,-0.010343950928940247,-0.005707430387296675,-0.009540679456107436
60,720575940603976672,a-CL258,0.016384326950121916,0.027774172544248316,0.013021209407600993
61,720575940615438495,a-LHPV3c1,-0.01884214533779962,-0.016525652175306837,-0.023791334241250593
62,720575940635718255,a-LHPV8c1,-0.005218635470417878,-0.010514870396460083,-0.01980892811138611
63,720575940620343345,a-PLP.78,0.17639052443785044,0.02536512016872708,-0.018230871149181125
64,720575940630124050,"a-PLP120, PLP145",0.0091906189574702,-0.00523244366092109,0.015845693546642357
65,720575940631718930,"a-PLP120, PLP145",-0.04381133819333734,0.008704049263005631,0.02029829672806841
66,720575940618445497,a-PLP177,-0.016432782140654068,-0.00023048367880127403,0.0033838366453023323
67,720575940611914850,a-PLP231,-0.0698347869815634,0.09501218825440175,0.043138715649225
68,720575940637736006,a-PLP251,-0.018107421606397427,-0.028479006364362378,-0.031435494704800164
69,720575940632070370,a-PVLP.SCL.2,0.003968855568843559,0.012678893888962022,-0.008903199921473513
70,720575940619421319,a-PVLP.SLP.13,-0.011630581933414557,0.00543503344097855,-0.005401759665969486
71,720575940610389602,"a-SLP223, SLP224",-0.008481527130022764,0.010098008189686794,0.001256643927298023
72,720575940616070283,"a-SMP459, SMP460",-0.013240048251126435,0.012515350611204965,0.030498182474838615
73,720575940624951847,ga-CL063,0.10160321336441021,0.08875669276527146,0.17245525559515668
74,720575940606769854,ga-MB-C1,-0.007956721365458332,-0.01187714192098368,-0.010415033252271583
75,720575940626248250,ga-PLP131,0.01769135043359241,0.006572055509273585,-0.0031904681962828182
76,720575940620745069,"gl-PLP185, PLP186",0.005450798756513393,-0.0004887297737057089,0.012002337266146077
77,720575940638124376,gl-SCL.56,0.01215052317972517,0.003632397775402681,-0.002511096397558824
78,720575940622440461,u-PLP.349,0.006080518022617018,0.012257288719138225,0.006144992960491871
